[2023-03-19 23:22:05.709] [logger] [info] lambda = 2.161433934966769
[2023-03-19 23:22:05.709] [logger] [info] lambda = -0.007063268606362965
[2023-03-19 23:22:05.709] [logger] [info] lambda = -2.1197210166435965
[2023-03-19 23:22:05.709] [logger] [info] lambda = 2.0439031560792555
[2023-03-19 23:22:05.709] [logger] [info] lambda = -0.01749133387321126
[2023-03-19 23:22:05.709] [logger] [info] lambda = -2.824949620529062
[2023-03-19 23:22:05.709] [logger] [info] lambda = 2.5619240034730058
[2023-03-19 23:22:05.709] [logger] [info] lambda = -0.0018873398282400848
[2023-03-19 23:22:05.709] [logger] [info] lambda = -2.924724480684411
[2023-03-19 23:22:05.709] [logger] [info] lambda = 2.9437411627285375
[2023-03-19 23:22:05.709] [logger] [info] lambda = -0.003838382351229552
[2023-03-19 23:22:05.709] [logger] [info] lambda = -2.864825937400853
[2023-03-19 23:22:05.709] [logger] [info] lambda = 2.643310505359581
[2023-03-19 23:22:05.709] [logger] [info] lambda = 0.0036292086689601374
[2023-03-19 23:22:05.709] [logger] [info] lambda = -2.486332083377339
[2023-03-19 23:22:05.709] [logger] [info] lambda = 2.5523771477374693
[2023-03-19 23:22:05.709] [logger] [info] lambda = -0.009602027993722036
[2023-03-19 23:22:05.709] [logger] [info] lambda = -2.858376081330487
[2023-03-19 23:22:05.709] [logger] [info] lambda = 2.838838455049866
[2023-03-19 23:22:05.709] [logger] [info] lambda = 0.031476067481736154
[2023-03-19 23:22:05.709] [logger] [info] lambda = -2.561554575792245
[2023-03-19 23:22:05.709] [logger] [info] lambda = 2.751602903240518
[2023-03-19 23:22:05.709] [logger] [info] lambda = -0.03584443260453699
[2023-03-19 23:22:05.709] [logger] [info] lambda = -2.882240182175079
[2023-03-19 23:22:05.709] [logger] [info] lambda = 2.6623014902593276
[2023-03-19 23:22:05.709] [logger] [info] lambda = 0.01655942107874344
[2023-03-19 23:22:05.709] [logger] [info] lambda = -2.354136197101233
[2023-03-19 23:22:05.709] [logger] [info] lambda = 2.4594381357440045
